,DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,MCAR1,MCAR2,MCAR3,MCAR4,MCAR5,MCAR6,MCAR7,MCAR8,MFTN1,MFTN2,MFTN3,MFTN4,MFTN5,MFTN6,MFTN7,MFTN8
348,23:55,21:20,,14:40,18:10,,,,17:35,22:55,,15:50,21:50,,,,2018-06-17,2018-06-18,2018-06-18,2018-06-25,2018-06-25,2018-06-25,2018-06-25,2018-06-25,BOG,CDG,,GVA,CDG,,,,CDG,TRN,,CDG,BOG,,,,AF,AF,,AF,AF,,,,429,1502,VOID,1443,0428,VOID,VOID,VOID
349,15:32,20:00,15:10,0:10,10:05,,,,17:25,13:20,8:25,6:55,14:00,,,,2018-07-06,2018-07-06,2018-07-07,2018-07-15,2018-07-15,2018-07-15,2018-07-15,2018-07-15,BOG,PTY,CDG,PVG,AMS,,,,PTY,CDG,PVG,AMS,BOG,,,,CM,AF,AF,KL,KL,,,,416,0475,0112,4814,0741,VOID,VOID,VOID
350,15:35,14:35,,13:00,17:15,,,,10:45,19:05,,,22:05,,,,2018-10-18,2018-10-19,2018-10-19,2018-11-04,2018-11-04,2018-11-04,2018-11-04,2018-11-04,BOG,AMS,,VIE,CDG,,,,AMS,IST,,CDG,BOG,,,,KL,KL,,AF,AF,,,,749,2759,VOID,5043,0422,VOID,VOID,VOID
351,15:32,18:55,14:40,7:20,10:05,,,,17:25,12:20,15:55,8:40,14:00,,,,2018-08-13,2018-08-13,2018-08-14,2018-08-28,2018-08-28,2018-08-28,2018-08-28,2018-08-28,BOG,PTY,AMS,CDG,AMS,,,,PTY,AMS,CDG,AMS,BOG,,,,CM,KL,AF,KL,KL,,,,416,0758,1741,2002,0749,VOID,VOID,VOID
352,10:15,13:35,12:30,13:00,14:45,1:05,10:30,16:00,11:25,8:20,23:05,18:10,18:15,7:55,15:10,17:35,2018-07-03,2018-07-03,2018-07-04,2018-07-20,2018-09-24,2018-10-02,2018-10-02,2018-10-02,LYS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,LYS,AF,AF,AF,SB,SB,AF,KL,KL,7641,0276,4021,0330,0331,4020,0862,1417
353,10:15,13:35,12:30,13:00,14:45,1:05,10:30,16:00,11:25,8:20,23:05,18:10,18:15,7:55,15:10,17:35,2018-07-03,2018-07-03,2018-07-04,2018-07-20,2018-09-24,2018-10-02,2018-10-02,2018-10-02,LYS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,LYS,AF,AF,AF,SB,SB,AF,KL,KL,7641,0276,4021,0330,0331,4020,0862,1417
354,10:15,13:35,12:30,13:00,14:45,1:05,10:30,16:00,11:25,8:20,23:05,18:10,18:15,7:55,15:10,17:35,2018-07-03,2018-07-03,2018-07-04,2018-07-20,2018-09-24,2018-10-02,2018-10-02,2018-10-02,LYS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,CDG,NRT,NOU,WLS,NOU,NRT,AMS,LYS,AF,AF,AF,SB,SB,AF,KL,KL,7641,0276,4021,0330,0331,4020,0862,1417
355,19:50,23:40,7:15,14:30,19:50,12:00,,,21:00,5:45,9:00,17:00,10:00,13:35,,,2018-06-13,2018-06-13,2018-06-14,2018-07-07,2018-07-07,2018-07-08,2018-07-08,2018-07-08,LYS,CDG,GIG,BSB,FOR,AMS,,,CDG,GIG,BSB,FOR,AMS,LYS,,,AF,AF,AF,AF,AF,AF,,,7649,0442,4177,6387,8499,8319,VOID,VOID
356,13:00,16:45,16:55,,13:55,12:10,,,14:10,19:10,20:26,,9:15,13:35,,,2018-06-11,2018-06-11,2018-06-14,2018-06-14,2018-06-29,2018-06-30,2018-06-30,2018-06-30,GVA,CDG,JFK,,SFO,AMS,,,CDG,JFK,LAX,,AMS,GVA,,,AF,AF,DL,,KL,KL,,,1743,0010,0212,VOID,0606,1929,VOID,VOID
357,13:00,16:45,16:55,,13:55,12:10,,,14:10,19:10,20:26,,9:15,13:35,,,2018-06-11,2018-06-11,2018-06-14,2018-06-14,2018-06-29,2018-06-30,2018-06-30,2018-06-30,GVA,CDG,JFK,,SFO,AMS,,,CDG,JFK,LAX,,AMS,GVA,,,AF,AF,DL,,KL,KL,,,1743,0010,0212,VOID,0606,1929,VOID,VOID
358,13:00,16:45,16:55,,13:55,12:10,,,14:10,19:10,20:26,,9:15,13:35,,,2018-06-11,2018-06-11,2018-06-14,2018-06-14,2018-06-29,2018-06-30,2018-06-30,2018-06-30,GVA,CDG,JFK,,SFO,AMS,,,CDG,JFK,LAX,,AMS,GVA,,,AF,AF,DL,,KL,KL,,,1743,0010,0212,VOID,0606,1929,VOID,VOID
359,10:10,14:00,11:30,1:05,10:30,17:00,,,11:45,8:40,22:15,7:55,15:10,18:55,,,2018-07-11,2018-07-11,2018-07-12,2018-09-05,2018-09-05,2018-09-05,2018-09-05,2018-09-05,NCE,CDG,KIX,NOU,NRT,AMS,,,CDG,KIX,NOU,NRT,AMS,NCE,,,AF,AF,AF,AF,AF,AF,,,7701,0292,4023,4020,5134,3179,VOID,VOID
360,11:25,13:35,12:30,1:05,10:35,21:55,,,12:30,8:20,23:05,7:55,16:10,23:00,,,2018-07-06,2018-07-06,2018-07-07,2018-07-14,2018-07-14,2018-07-14,2018-07-14,2018-07-14,NTE,CDG,NRT,NOU,NRT,CDG,,,CDG,NRT,NOU,NRT,CDG,NTE,,,AF,AF,AF,AF,AF,AF,,,7725,0276,4021,4020,0275,7728,VOID,VOID
361,0:10,10:25,16:30,,10:35,13:35,12:30,,7:00,15:10,17:55,,12:05,8:20,23:05,,2018-07-16,2018-07-16,2018-07-16,2018-07-16,2018-08-20,2018-08-20,2018-08-21,2018-08-21,NOU,KIX,AMS,,MRS,CDG,NRT,,KIX,AMS,RNS,,CDG,NRT,NOU,,AF,KL,KL,,AF,AF,AF,,4022,0868,2031,VOID,7663,0276,4021,VOID
362,0:10,10:25,16:30,,10:35,13:35,12:30,,7:00,15:10,17:55,,12:05,8:20,23:05,,2018-07-16,2018-07-16,2018-07-16,2018-07-16,2018-08-20,2018-08-20,2018-08-21,2018-08-21,NOU,KIX,AMS,,MRS,CDG,NRT,,KIX,AMS,RNS,,CDG,NRT,NOU,,AF,KL,KL,,AF,AF,AF,,4022,0868,2031,VOID,7663,0276,4021,VOID
363,1:05,10:30,20:30,9:35,14:40,12:30,,,7:55,15:10,21:50,11:00,8:40,23:05,,,2018-07-15,2018-07-15,2018-07-15,2018-08-16,2018-08-16,2018-08-17,2018-08-17,2018-08-17,NOU,NRT,AMS,CDG,AMS,NRT,,,NRT,AMS,CDG,AMS,NRT,NOU,,,AF,AF,AF,AF,AF,AF,,,4020,5134,1441,8228,5133,4021,VOID,VOID
364,1:05,9:15,13:20,21:00,17:40,12:30,,,7:55,11:45,,,20:00,23:05,,,2018-10-05,2018-10-05,2018-10-05,2018-10-15,2018-10-16,2018-10-17,2018-10-17,2018-10-17,NOU,NRT,ICN,CDG,ICN,NRT,,,NRT,ICN,CDG,ICN,NRT,NOU,,,AF,AF,AF,AF,AF,AF,,,4020,7889,5093,5092,7888,4021,,
