DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,NUM_CONNECTIONS,LAST_ARRIVAL,TOTAL_DUR_MIN,TOTAL_CONNECTION_TIME_MIN,MAX_CONNECTION_TIME_MINUTES,DEPARTURE_DOW,ARRIVAL_DOW,INCLUDE
1369,870,920,,,,,,645,1070,1010,,,,,,1/3/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2521,1515,1290,5,7,TRUE
1369,870,920,,,,,,645,1070,1010,,,,,,1/3/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2521,1515,1290,5,7,TRUE
1410,870,920,,,,,,670,1070,1010,,,,,,1/25/2019,1/5/2019,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2480,1490,1290,5,7,TRUE
1369,500,920,,,,,,645,700,1010,,,,,,1/3/2019,11/5/2018,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2521,1515,1295,5,7,TRUE
1369,500,920,,,,,,645,700,1010,,,,,,1/3/2019,11/5/2018,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2521,1515,1295,5,7,TRUE
1369,500,920,,,,,,645,700,1010,,,,,,1/3/2019,11/5/2018,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2521,1515,1295,5,7,TRUE
1410,500,920,,,,,,670,700,1010,,,,,,1/25/2019,11/5/2018,1/13/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1010,2480,1490,1270,5,7,TRUE
1369,870,560,,,,,,645,1070,655,,,,,,1/3/2019,1/5/2019,1/20/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,2166,1155,930,5,7,TRUE
1369,870,560,,,,,,645,1070,655,,,,,,1/3/2019,1/5/2019,1/20/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,2166,1155,930,5,7,TRUE
1369,870,560,,,,,,645,1070,655,,,,,,1/3/2019,1/5/2019,1/20/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,2166,1155,930,5,7,TRUE
1410,870,560,,,,,,670,1070,655,,,,,,1/25/2019,1/5/2019,1/20/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,2125,1130,930,5,7,TRUE
1369,500,560,,,,,,645,700,655,,,,,,1/3/2019,11/5/2018,1/21/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,3606,2595,1300,5,1,TRUE
1369,500,560,,,,,,645,700,655,,,,,,1/3/2019,11/5/2018,1/21/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,3606,2595,1300,5,1,TRUE
1369,500,560,,,,,,645,700,655,,,,,,1/3/2019,11/5/2018,1/21/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,3606,2595,1300,5,1,TRUE
1410,500,560,,,,,,670,700,655,,,,,,1/25/2019,11/5/2018,1/21/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,655,3565,2570,1300,5,1,TRUE
1369,870,1155,,,,,,645,1070,1245,,,,,,1/3/2019,1/5/2019,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,1316,310,225,5,6,TRUE
1369,870,1155,,,,,,645,1070,1245,,,,,,1/3/2019,1/5/2019,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,1316,310,225,5,6,TRUE
1369,870,1155,,,,,,645,1070,1245,,,,,,1/3/2019,1/5/2019,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,1316,310,225,5,6,TRUE
1410,870,1155,,,,,,670,1070,1245,,,,,,1/25/2019,1/5/2019,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,1275,285,200,5,6,TRUE
1369,500,1155,,,,,,645,700,1245,,,,,,1/3/2019,11/5/2018,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,2756,1750,1295,5,7,TRUE
1369,500,1155,,,,,,645,700,1245,,,,,,1/3/2019,11/5/2018,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,2756,1750,1295,5,7,TRUE
1369,500,1155,,,,,,645,700,1245,,,,,,1/3/2019,11/5/2018,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,2756,1750,1295,5,7,TRUE
1410,500,1155,,,,,,670,700,1245,,,,,,1/25/2019,11/5/2018,12/29/2018,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,1245,2715,1725,1270,5,7,TRUE
1369,870,440,,,,,,645,1070,535,,,,,,1/3/2019,1/5/2019,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,2046,1035,810,5,7,TRUE
1369,870,440,,,,,,645,1070,535,,,,,,1/3/2019,1/5/2019,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,2046,1035,810,5,7,TRUE
1369,870,440,,,,,,645,1070,535,,,,,,1/3/2019,1/5/2019,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,2046,1035,810,5,7,TRUE
1410,870,440,,,,,,670,1070,535,,,,,,1/25/2019,1/5/2019,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,2005,1010,810,5,7,TRUE
1369,500,440,,,,,,645,700,535,,,,,,1/3/2019,11/5/2018,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,3486,2475,1295,5,1,TRUE
1369,500,440,,,,,,645,700,535,,,,,,1/3/2019,11/5/2018,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,3486,2475,1295,5,1,TRUE
1369,500,440,,,,,,645,700,535,,,,,,1/3/2019,11/5/2018,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,3486,2475,1295,5,1,TRUE
1410,500,440,,,,,,670,700,535,,,,,,1/25/2019,11/5/2018,1/4/2019,,,,,,JFK,LIS,MRS,,,,,,LIS,MRS,CDG,,,,,,2,535,3445,2450,1270,5,1,TRUE
1175,410,1210,,,,,,550,460,1285,,,,,,1/1/2019,1/13/2019,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2990,2050,1300,5,7,TRUE
1175,410,1210,,,,,,550,460,1285,,,,,,1/1/2019,1/13/2019,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2990,2050,1300,5,7,TRUE
1290,410,1210,,,,,,640,460,1285,,,,,,11/5/2018,1/13/2019,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1210,5,7,TRUE
1290,410,1210,,,,,,640,460,1285,,,,,,11/5/2018,1/13/2019,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1210,5,7,TRUE
1290,605,1210,,,,,,640,655,1285,,,,,,11/5/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1405,5,7,TRUE
1290,605,1210,,,,,,640,655,1285,,,,,,11/5/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1405,5,7,TRUE
5,1025,1210,,,,,,780,1075,1285,,,,,,11/5/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,1280,380,245,5,5,TRUE
994,1280,1210,,,,,,355,1330,1285,,,,,,1/2/2019,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,3171,2245,1320,5,7,TRUE
994,1280,1210,,,,,,355,1330,1285,,,,,,1/2/2019,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,3171,2245,1320,5,7,TRUE
1175,1280,1210,,,,,,550,1330,1285,,,,,,1/1/2019,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2990,2050,1320,5,7,TRUE
1175,1280,1210,,,,,,550,1330,1285,,,,,,1/1/2019,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2990,2050,1320,5,7,TRUE
1065,1280,1210,,,,,,410,1330,1285,,,,,,11/9/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,3100,2190,1320,5,7,TRUE
