DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,NUM_CONNECTIONS,LAST_ARRIVAL,TOTAL_DUR_MIN,TOTAL_CONNECTION_TIME_MIN,MAX_CONNECTION_TIME_MINUTES,DEPARTURE_DOW,ARRIVAL_DOW,INCLUDE
1065,1280,1210,,,,,,410,1330,1285,,,,,,11/9/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,3100,2190,1320,5,7,TRUE
1290,1280,1210,,,,,,640,1330,1285,,,,,,11/5/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1320,5,7,TRUE
1290,1280,1210,,,,,,640,1330,1285,,,,,,11/5/2018,10/28/2018,12/30/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,1285,2875,1960,1320,5,7,TRUE
994,410,405,,,,,,355,460,490,,,,,,1/2/2019,1/7/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,1385,5,7,TRUE
994,410,405,,,,,,355,460,490,,,,,,1/2/2019,1/7/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,1385,5,7,TRUE
5,410,405,,,,,,780,460,490,,,,,,11/5/2018,1/7/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3365,2455,1385,5,7,TRUE
1175,410,405,,,,,,550,460,490,,,,,,1/1/2019,1/13/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3635,2685,1385,5,1,TRUE
1175,410,405,,,,,,550,460,490,,,,,,1/1/2019,1/13/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3635,2685,1385,5,1,TRUE
1290,410,405,,,,,,640,460,490,,,,,,11/5/2018,1/13/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3520,2595,1385,5,1,TRUE
1290,410,405,,,,,,640,460,490,,,,,,11/5/2018,1/13/2019,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3520,2595,1385,5,1,TRUE
994,605,405,,,,,,355,655,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,1190,5,7,TRUE
994,605,405,,,,,,355,655,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,1190,5,7,TRUE
1175,605,405,,,,,,550,655,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,1190,5,7,TRUE
1175,605,405,,,,,,550,655,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,1190,5,7,TRUE
5,605,405,,,,,,780,655,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3365,2455,1265,5,7,TRUE
1065,605,405,,,,,,410,655,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,1190,5,7,TRUE
1065,605,405,,,,,,410,655,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,1190,5,7,TRUE
1290,605,405,,,,,,640,655,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3520,2595,1405,5,1,TRUE
1290,605,405,,,,,,640,655,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,3520,2595,1405,5,1,TRUE
994,1025,405,,,,,,355,1075,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,770,5,7,TRUE
994,1025,405,,,,,,355,1075,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,770,5,7,TRUE
1175,1025,405,,,,,,550,1075,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,770,5,7,TRUE
1175,1025,405,,,,,,550,1075,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,770,5,7,TRUE
5,1025,405,,,,,,780,1075,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,1925,1015,770,5,6,TRUE
1065,1025,405,,,,,,410,1075,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,770,5,7,TRUE
1065,1025,405,,,,,,410,1075,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,770,5,7,TRUE
1290,1025,405,,,,,,640,1075,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2080,1155,770,5,7,TRUE
1290,1025,405,,,,,,640,1075,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2080,1155,770,5,7,TRUE
994,1280,405,,,,,,355,1330,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,925,5,7,TRUE
994,1280,405,,,,,,355,1330,490,,,,,,1/2/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2376,1440,925,5,7,TRUE
1175,1280,405,,,,,,550,1330,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,730,5,7,TRUE
1175,1280,405,,,,,,550,1330,490,,,,,,1/1/2019,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2195,1245,730,5,7,TRUE
5,1280,405,,,,,,780,1330,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,1925,1015,515,5,6,TRUE
